ID_REGISTRO,ID_IOT,VL_COORDX,VL_COORDY,VL_COORDZ,DTH_REGISTRO,BSSID,RSSI
335,2,2.96,0.0,0.5,2025-07-31 01:07:55,24:FD:0D:D7:17:4A,-58
336,1,8.26,0.78,0.57,2025-07-31 01:08:02,24:FD:0D:D7:17:4A,-52
337,2,2.96,0.0,0.5,2025-07-31 01:08:04,24:FD:0D:D7:17:4A,-58
338,1,8.26,0.78,0.57,2025-07-31 01:08:10,24:FD:0D:D7:17:4A,-52
339,2,2.96,0.0,0.5,2025-07-31 01:08:12,24:FD:0D:D7:17:4A,-58
340,1,8.26,0.78,0.57,2025-07-31 01:08:19,24:FD:0D:D7:17:4A,-50
341,2,2.96,0.0,0.5,2025-07-31 01:08:21,24:FD:0D:D7:17:4A,-59
342,1,8.26,0.78,0.57,2025-07-31 01:08:28,24:FD:0D:D7:17:4A,-52
343,2,2.96,0.0,0.5,2025-07-31 01:08:30,24:FD:0D:D7:17:4A,-62
344,1,8.26,0.78,0.57,2025-07-31 01:08:37,24:FD:0D:D7:17:4A,-52
345,2,2.96,0.0,0.5,2025-07-31 01:08:39,24:FD:0D:D7:17:4A,-57
346,1,8.26,0.78,0.57,2025-07-31 01:08:46,24:FD:0D:D7:17:4A,-51
347,2,2.96,0.0,0.5,2025-07-31 01:08:47,24:FD:0D:D7:17:4A,-58
348,1,8.26,0.78,0.57,2025-07-31 01:08:55,24:FD:0D:D7:17:4A,-51
349,2,2.96,0.0,0.5,2025-07-31 01:08:56,24:FD:0D:D7:17:4A,-60
350,1,8.26,0.78,0.57,2025-07-31 01:09:04,24:FD:0D:D7:17:4A,-51
351,2,2.96,0.0,0.5,2025-07-31 01:09:05,24:FD:0D:D7:17:4A,-57
352,1,8.26,0.78,0.57,2025-07-31 01:09:13,24:FD:0D:D7:17:4A,-51
353,2,2.96,0.0,0.5,2025-07-31 01:09:14,24:FD:0D:D7:17:4A,-59
354,2,2.96,0.0,0.5,2025-07-31 01:09:22,24:FD:0D:D7:17:4A,-57
355,1,8.26,0.78,0.57,2025-07-31 01:09:22,24:FD:0D:D7:17:4A,-53
356,2,2.96,0.0,0.5,2025-07-31 01:09:31,24:FD:0D:D7:17:4A,-57
